Orphanet;MeSH;OMIM;MedDRA;UMLS;ICD-10
ORPHA:2695;C535441;109740;-;C0221363;Q30.2
ORPHA:2697;C535382;208085;-;C1859722;Q89.7
ORPHA:2698;-;149200;-;C0266004;Q82.8
ORPHA:2699;-;151630;-;-;Q18.8
ORPHA:2700;D009625;-;10029502;C0028271;A69.0
ORPHA:2701;-;607721;-;C3501846;Q87.1
ORPHA:2703;-;-;-;-;-
ORPHA:2704;C536480;236730;-;C0403555;N31.8
ORPHA:2705;-;-;-;-;-
ORPHA:2706;-;-;-;-;-
ORPHA:2707;C537013;244450;-;C1855663;Q87.0
ORPHA:2708;-;-;-;-;-
ORPHA:2709;C537732;180900;-;C0796140;Q87.8
ORPHA:2710;-;257850;10063691;C0812437;Q87.8
ORPHA:2712;C537465;300166;-;C2931601;Q87.8
ORPHA:2713;-;211370;-;C1859385;Q87.5
ORPHA:2714;-;257910;-;C1850338;Q87.1
ORPHA:2715;-;257970;-;C1850331;-
ORPHA:2716;-;-;-;-;-
ORPHA:2717;-;248450;-;C1855425;Q87.8
ORPHA:2718;-;257960;-;C1850332;-
ORPHA:2719;-;257800;-;C2936910;E70.3
ORPHA:2720;-;-;-;-;-
ORPHA:2721;C537742;257980;-;C1275074;Q82.4
ORPHA:2722;-;-;-;-;-
ORPHA:2723;-;273400;-;-;-
ORPHA:2724;-;164330;-;C1834013;-
ORPHA:2725;-;609465;-;-;-
ORPHA:2728;-;249620;-;C2931643;Q87.8
ORPHA:2729;-;604916;-;-;Q87.8
ORPHA:2730;-;176240;-;C1867924;Q73.8
ORPHA:2731;C536945;272980;-;C1848909;-
ORPHA:2732;-;-;-;-;-
ORPHA:2733;-;258315;-;-;Q78.8
ORPHA:2736;C537747;258320;-;C1850317;Q87.8
ORPHA:2737;D009855;-;10039202;C0029001;B73
ORPHA:2739;-;-;-;-;-
ORPHA:2741;-;164900;-;C1833872;Q87.8
ORPHA:2742;-;-;-;-;-
ORPHA:2743;-;165150;-;C1833835;-
ORPHA:2744;-;607313;-;C1846496;H49.4
ORPHA:2745;-;145410;-;C1801950;Q87.8
ORPHA:2746;C537122;258480;-;C0432219;Q78.8
ORPHA:2749;-;-;-;-;Q87.5
ORPHA:2750;-;311200;-;C2931426;Q87.0
ORPHA:2751;C538585;252100;-;C2931889;Q87.0
ORPHA:2752;-;258850;-;C0406726;Q87.0
ORPHA:2753;-;258860;-;C0406727;Q87.0
ORPHA:2754;-;614815;-;C2745997;Q04.3
ORPHA:2755;-;300484;-;C0796101;Q87.0
ORPHA:2756;-;165590;-;C1833796;Q87.0
ORPHA:2759;-;-;-;-;-
ORPHA:2760;C537138;165660;-;C1833792;C41.9
ORPHA:2762;-;166350;10048902;C0334041;M61.5
ORPHA:2763;-;602361;-;C1865639;Q78.0
ORPHA:2764;D010008;-;10031231;C0029421;M93.2
ORPHA:2765;-;-;-;-;-
ORPHA:2767;-;127820;-;C1300233;D16.9
ORPHA:2768;C536237;259200;10072255;C0175756;M92.5
ORPHA:2769;-;259250;-;C1850186;-
ORPHA:2770;C536329;221770;-;C1857316;E75.2
ORPHA:2771;-;609220;10063718;C1850168;M21.8
ORPHA:2772;C537558;259410;-;C1850184;Q78.0
ORPHA:2773;-;-;-;-;Q87.8
ORPHA:2774;-;166300;-;C2674705;-
ORPHA:2775;-;-;-;-;-
ORPHA:2776;-;259610;-;-;-
ORPHA:2777;-;166450;-;C0432264;Q78.2
ORPHA:2778;-;-;-;-;-
ORPHA:2779;-;311280;-;C2931096;Q77.8
ORPHA:2780;C536053;300373;-;C0432268;Q78.8
ORPHA:2781;D010022;-;10031280;C0029454;Q78.2
ORPHA:2783;C536056;607634;-;C1843330;Q78.2
ORPHA:2785;C536058;259730;-;C1849435;Q78.2
ORPHA:2786;-;601220;-;C1832592;-
ORPHA:2787;-;-;-;-;-
ORPHA:2788;C536063;259770;10052452;C0432252;Q87.5
ORPHA:2789;-;130720;-;C1851710;Q87.5
ORPHA:2790;-;144750;-;C2931308;Q78.2
ORPHA:2791;-;166750;-;C1833693;K00.2
ORPHA:2792;-;615560;-;C2931416;Q87.0
ORPHA:2793;-;259780;-;C1850105;Q87.5
ORPHA:2795;-;-;-;C2931462;-
ORPHA:2796;-;259100;10051686;-;M89.4
ORPHA:2798;-;600176;-;C1838491;G40.4
ORPHA:2800;D010145;167300;10033366;C0030186;C44.5
ORPHA:2801;-;239000;-;C0268414;M88.8
ORPHA:2802;-;301310;-;C1845028;D64.0
ORPHA:2804;-;311450;-;C0796110;Q87.8
ORPHA:2805;-;167755;-;C1850096;Q45.0
ORPHA:2806;-;260470;-;C0038522;A81.1
ORPHA:2807;D020288;260500;10008777;C0205770;D33.0
ORPHA:2808;-;150260;-;C0396059;J38.0
ORPHA:2809;-;134200;-;C1851399;G51.0
ORPHA:2812;-;260530;-;C1850079;L91.8
ORPHA:2815;-;312910;-;C2931291;G11.4
ORPHA:2816;-;-;-;-;-
ORPHA:2818;-;270850;-;C1849113;-
ORPHA:2819;-;-;-;C2931617;-
ORPHA:2820;-;182690;-;C2931667;-
ORPHA:2821;C536870;182815;-;C1866851;-
ORPHA:2822;C537483;604360;-;C1858479;G11.4
ORPHA:2823;-;-;-;-;-
ORPHA:2824;-;309560;-;C2745996;G82.1
ORPHA:2825;C537174;600331;-;C1838256;Q87.8
ORPHA:2826;C536874;182820;-;C1866850;-
ORPHA:2828;-;300557;-;-;G20
ORPHA:2829;-;-;-;-;-
ORPHA:2831;C537609;601438;-;C1832359;Q78.8
ORPHA:2832;-;600269;-;C1838328;Q87.2
ORPHA:2833;-;184900;-;C1861456;L98.8
ORPHA:2834;C536750;278250;-;C0406587;Q82.8
ORPHA:2835;-;600399;-;C2931302;-
ORPHA:2836;C536317;260565;-;C0796122;G31.8
ORPHA:2837;-;-;-;-;-
ORPHA:2838;-;-;-;-;-
ORPHA:2839;-;169550;-;C1868508;Q87.5
ORPHA:2840;C535548;602484;-;C2930869;-
ORPHA:2841;-;169600;-;C0085106;Q82.8
ORPHA:2842;C536650;-;10067287;C1868854;Q55.8
ORPHA:2843;C536652;260800;10064170;C0268162;E74.8
ORPHA:2846;-;-;-;C0685699;Q24.8
ORPHA:2847;-;-;-;-;-
ORPHA:2848;-;208250;-;C1859690;-
ORPHA:2849;-;267000;-;C0796113;Q87.3
ORPHA:2850;-;610422;-;C2931280;Q87.8
ORPHA:2853;-;-;-;-;-
ORPHA:2854;C538189;228930;-;C1856728;Q74.8
ORPHA:2855;-;614926;-;C0685838;Q87.8
ORPHA:2856;C536665;261550;-;C1849930;Q55.8
ORPHA:2860;-;-;-;-;-
ORPHA:2861;-;-;-;-;-
ORPHA:2863;-;185120;-;C1861448;Q87.1
ORPHA:2864;-;-;-;-;-
ORPHA:2865;-;-;-;C2930950;Q87.8
ORPHA:2866;-;-;-;-;Q87.1
ORPHA:2867;C537121;601350;-;C1832439;Q87.1
ORPHA:2868;-;126190;-;-;Q87.1
ORPHA:2869;D010580;175200;10034764;C0031269;Q85.8
ORPHA:2871;C537889;261560;-;C1849929;Q87.1
ORPHA:2872;-;218450;-;-;Q87.8
ORPHA:2874;C537893;-;-;C2931658;Q85.8
ORPHA:2875;-;-;-;C1274879;Q85.8
ORPHA:2876;-;261575;-;C1849928;Q87.8
ORPHA:2878;-;171480;-;C1868390;Q87.2
ORPHA:2879;-;276820;-;-;Q87.2
ORPHA:2880;C536654;261680;-;C0268194;E74.4
ORPHA:2881;C536224;219095;-;C1857449;L57.8
ORPHA:2882;C537345;210250;10063985;C0342907;E78.0
ORPHA:2884;D016116;172800;-;C0080024;E70.3
ORPHA:2885;-;172850;-;C1868311;-
ORPHA:2886;C536942;311900;-;C1839463;Q87.8
ORPHA:2888;-;311895;-;C2931064;Q87.8
ORPHA:2889;-;261900;-;C0263491;Q84.1
ORPHA:2890;C537399;-;-;C2931483;-
ORPHA:2891;C537398;261990;-;C1849811;-
ORPHA:2892;-;262020;-;C1849805;-
ORPHA:2894;-;-;-;-;-
ORPHA:2895;-;-;-;-;-
ORPHA:2896;C537403;610954;-;C1970431;Q87.0
ORPHA:2897;D010916;173200;10035116;C0032027;L44.0
ORPHA:2898;-;300064;-;C2931516;Q87.0
ORPHA:2899;-;601216;-;C1832594;Q76.3
ORPHA:2900;C537118;151200;-;C0265311;Q68.8
ORPHA:2901;-;162100;10063020;C0221759;G54.5
ORPHA:2902;-;-;-;C2930941;J82
ORPHA:2903;-;173600;-;-;J93.1
ORPHA:2905;D016878;-;10053869;C0085404;D47.7
ORPHA:2907;-;-;-;C0406556;Q82.8
ORPHA:2908;C536321;-;-;C0406557;Q81.8
ORPHA:2909;D011038;268400;-;C0032339;Q82.8
ORPHA:2911;D011045;173800;10036007;C0032357;Q79.8
ORPHA:2912;D011051;-;10036012;C0032371;A80.4
ORPHA:2913;D017689;603596;10036063;C0152427;Q69.9
ORPHA:2916;-;263540;-;C1849732;Q87.2
ORPHA:2917;-;174310;-;C1868117;Q87.2
ORPHA:2919;-;174300;-;C1868118;Q87.0
ORPHA:2920;-;258200;-;C1850320;Q87.2
ORPHA:2921;-;-;-;C2931655;Q87.2
ORPHA:2924;C536330;174050;10048834;C0158683;Q44.6
ORPHA:2925;-;-;-;-;-
ORPHA:2926;-;207740;-;C2930955;Q87.8
ORPHA:2928;-;-;-;-;Q87.8
ORPHA:2929;-;174900;-;C0345893;D12.6
ORPHA:2930;-;175500;10062907;C0282207;D12.6
ORPHA:2932;-;-;10057645;C0393819;G61.8
ORPHA:2934;-;263630;-;C1849719;Q87.8
ORPHA:2935;-;175690;-;C1867999;Q70.4
ORPHA:2940;-;614483;10036172;C0302892;Q04.6
ORPHA:2941;-;601322;-;C1832472;Q87.8
ORPHA:2942;-;-;-;C0080040;G14
ORPHA:2946;-;112430;-;C1862169;Q87.2
ORPHA:2947;C536564;190680;-;C1860804;Q74.8
ORPHA:2950;C536563;174500;-;C1969369;Q74.8
ORPHA:2951;-;274190;-;C1848818;D82.8
ORPHA:2952;-;201550;-;-;Q74.8
ORPHA:2953;-;615539;-;-;Q79.6
ORPHA:2956;C538277;-;-;C2931790;Q87.8
ORPHA:2957;C538278;176305;-;C1867801;Q87.2
ORPHA:2958;-;309610;-;C1839730;-
ORPHA:2959;C536422;176690;-;C1261128;-
ORPHA:2962;C535990;219150;-;C0268354;Q87.8
ORPHA:2963;-;612289;-;C2931653;E34.8
ORPHA:2964;-;176700;-;-;K07.1
ORPHA:2965;D015175;-;10036832;C0033375;E22.1
ORPHA:2966;C537241;312060;-;C0398762;D84.1
ORPHA:2967;-;193090;-;C0342700;E53.8
ORPHA:2968;D018370;612840;-;C0242597;D84.8
ORPHA:2969;-;158350;-;C1866398;Q87.3
ORPHA:2970;D011535;100100;10051025;C0033770;Q79.4
ORPHA:2971;C536662;264470;-;C1849678;E71.3
ORPHA:2972;C537496;273050;-;C2931509;-
ORPHA:2973;-;-;-;-;Q56.2
ORPHA:2975;-;264270;-;C1849696;Q56.2
ORPHA:2976;C536310;169170;-;C1868546;E34.8
ORPHA:2978;-;300048;-;C0238062;K59.8
ORPHA:2980;-;264475;-;C1849661;Q87.0
ORPHA:2981;-;-;-;-;-
ORPHA:2982;D058489;-;-;C2936403;Q56.2
ORPHA:2983;-;600122;-;C2931233;Q56.3
ORPHA:2985;-;200130;-;C0796125;Q87.8
ORPHA:2987;-;178200;-;C1867439;-
ORPHA:2988;-;600159;-;C1838562;Q87.0
ORPHA:2989;-;-;-;-;-
ORPHA:2990;-;265000;-;-;Q79.8
ORPHA:2994;-;177980;-;C1867443;Q87.8
ORPHA:2995;-;614583;-;C1855722;Q87.0
ORPHA:2997;-;193240;-;C1860403;-
ORPHA:2998;-;-;-;-;-
ORPHA:2999;-;178330;-;C1867437;-
ORPHA:3000;C536961;176410;10063654;C0342549;E30.1
ORPHA:3002;D016553;188030;10021245;C0398650;D69.3
ORPHA:3003;C536251;265880;-;C1849523;Q78.8
ORPHA:3004;-;-;-;-;Q87.2
ORPHA:3005;C536252;265900;-;C0265294;Q78.5
ORPHA:3006;C536254;617290;-;C1291560;G40.8
ORPHA:3008;D015324;266150;-;C0034341;E74.4
ORPHA:3010;C536259;600096;-;C2931142;Q87.8
ORPHA:3011;-;270950;-;C1849112;-
ORPHA:3013;-;-;-;-;-
ORPHA:3015;C536267;179280;-;C2931146;-
ORPHA:3016;C535281;312190;-;C1839410;-
ORPHA:3018;C535283;277175;-;C2930864;E78.8
ORPHA:3019;C535285;266270;-;C0796133;Q87.8
ORPHA:3020;-;-;-;C0017409;G53.0*
ORPHA:3021;C535288;266280;-;C1849453;Q87.1
ORPHA:3022;-;-;-;-;-
ORPHA:3023;C535290;133705;-;C2930867;Q87.8
ORPHA:3026;C536263;179270;-;C0339838;-
ORPHA:3027;-;600145;10054842;C1867774;Q76.0
ORPHA:3032;-;267010;-;C2673885;Q61.9
ORPHA:3033;-;267430;-;C0266313;Q63.8
ORPHA:3034;-;155980;-;C1835030;Q75.8
ORPHA:3035;-;236640;-;C1856052;Q87.8
ORPHA:3038;-;182875;-;C2931119;Q87.0
ORPHA:3041;-;300977;-;C1866985;Q87.8
ORPHA:3042;-;259050;-;C0796121;Q87.8
ORPHA:3043;-;-;-;-;-
ORPHA:3044;-;249599;-;C1855303;Q87.8
ORPHA:3046;-;-;-;-;-
ORPHA:3047;-;603736;-;C1863557;Q87.8
ORPHA:3050;-;-;-;-;-
ORPHA:3051;-;601358;-;C1303073;-
ORPHA:3052;-;309480;-;C2931381;Q87.8
ORPHA:3055;-;-;-;C0796264;Q87.8
ORPHA:3056;-;300612;-;-;Q87.8
ORPHA:3057;-;300615;-;C0796275;E70.8
ORPHA:3059;-;-;-;-;-
ORPHA:3061;-;-;-;-;-
ORPHA:3062;-;-;-;-;-
ORPHA:3063;-;309583;-;C0796160;Q87.8
ORPHA:3064;-;-;-;-;-
ORPHA:3065;-;-;-;-;-
ORPHA:3067;-;-;-;-;-
ORPHA:3068;-;253320;-;C1854663;Q87.8
ORPHA:3071;D056685;218040;10067380;C0587248;Q87.8
ORPHA:3074;-;-;-;-;Q87.8
ORPHA:3077;-;300055;-;C3713418;F71.1
ORPHA:3078;-;309555;-;C0795965;F72.9
ORPHA:3079;-;249630;-;C0796080;Q87.8
ORPHA:3080;-;277990;-;C1848439;Q87.0
ORPHA:3082;-;-;-;C2931547;Q87.2
ORPHA:3084;-;-;-;-;-
ORPHA:3085;-;268020;-;C1849401;Q87.8
ORPHA:3086;C536352;193220;-;C3888099;H35.5
ORPHA:3087;-;268040;-;C1849399;Q87.8
ORPHA:3088;-;268130;-;C1327916;-
ORPHA:3090;-;-;-;C0265916;Q26.2
ORPHA:3091;-;-;-;-;-
ORPHA:3092;-;271950;-;C1848979;Q24.4
ORPHA:3093;-;-;10010371;C0152417;Q23.0
ORPHA:3095;-;617903;-;C2748910;F84.2
ORPHA:3096;D012202;-;10039012;C0035400;G93.7
ORPHA:3097;-;608978;-;C1837026;Q87.8
ORPHA:3098;C537611;268250;-;C1849382;Q87.1
ORPHA:3099;D012213;268240;10039054;C0035436;I00
ORPHA:3101;C535675;255710;-;C2930978;Q87.8
ORPHA:3102;C535677;268305;-;C1849348;Q87.8
ORPHA:3103;C535687;269000;-;C0392475;Q73.8
ORPHA:3104;C535688;172880;-;C1868309;Q87.0
ORPHA:3105;-;-;-;-;-
ORPHA:3106;-;-;-;-;-
ORPHA:3107;-;180700;-;C0265205;Q87.1
ORPHA:3109;-;277000;10065148;C1698581;Q51.8
ORPHA:3110;C535870;180730;-;C1867147;L98.8
ORPHA:3111;-;237450;10039234;C0220991;E80.6
ORPHA:3112;-;-;-;-;-
ORPHA:3115;-;180800;-;C0205713;G60.0
ORPHA:3118;-;-;-;-;-
ORPHA:3121;-;180870;-;C0265248;Q87.8
ORPHA:3122;-;-;-;-;-
ORPHA:3123;-;-;-;-;-
ORPHA:3124;C537218;268700;-;C0268556;E72.3
ORPHA:3128;-;-;-;-;-
ORPHA:3129;C537236;268900;10059299;C0268563;E72.5
ORPHA:3130;C536616;600705;10070579;C1833454;-
ORPHA:3132;C536618;251240;-;C2931267;Q87.8
ORPHA:3133;C536619;190650;-;C1860805;Q74.8
ORPHA:3134;C536625;312830;-;C1839321;Q82.8
ORPHA:3135;-;181440;-;C0036310;M42.0
ORPHA:3137;-;609242;-;C1836544;E77.1
ORPHA:3138;C536937;181450;-;C1866994;Q71.8
ORPHA:3143;-;269200;-;C0085860;E31.0
ORPHA:3144;C536637;269250;-;C0432194;Q77.7
ORPHA:3145;-;221995;-;C2931070;N21.5
ORPHA:3148;-;-;10029236;C0751690;C47.9
ORPHA:3151;-;-;-;-;G37.8
ORPHA:3152;C537525;269500;-;C0265301;M85.2
ORPHA:3156;C537580;609254;-;C0403553;Q61.5
ORPHA:3157;D025962;182230;10067159;C0338503;Q04.4
ORPHA:3160;-;-;-;-;-
ORPHA:3161;-;-;-;-;Q33.2
ORPHA:3162;D012751;-;10040493;C0036920;C84.1
ORPHA:3163;C537327;269880;-;C0878684;Q87.1
ORPHA:3164;-;182210;-;C1866958;Q79.2
ORPHA:3165;-;226350;10014954;C0264005;M35.4
ORPHA:3166;C537332;269921;10067529;C2931471;E77.8
ORPHA:3167;C537335;-;-;C2931473;-
ORPHA:3168;C537338;113450;-;C1862092;Q74.8
ORPHA:3169;C538595;600145;10049216;C0037205;Q87.2
ORPHA:3172;-;227210;-;C1856896;-
ORPHA:3173;-;-;-;-;G40.4
ORPHA:3175;-;308350;-;-;G25.3
ORPHA:3176;-;-;-;-;Q05.9
ORPHA:3177;C535472;271310;-;C1849087;G11.1
ORPHA:3180;C535779;600000;-;C1838781;Q77.8
ORPHA:3181;C535802;184400;10010455;C0152438;Q74.0
ORPHA:3184;C537487;184510;-;C1866650;L72.2
ORPHA:3186;-;184705;-;C1866649;Q87.8
ORPHA:3188;-;-;-;C0265915;Q26.3
ORPHA:3189;D011666;265500;10037451;C0162164;Q22.1
ORPHA:3190;-;-;-;C3165028;Q24.3
ORPHA:3191;-;271960;-;C0795947;-
ORPHA:3192;-;-;-;-;Q25.6
ORPHA:3193;D021921;185500;10042598;C1305147;Q25.3
ORPHA:3194;C537488;122440;-;C2931506;H18.5
ORPHA:3195;-;-;-;-;-
ORPHA:3196;-;-;-;C2931508;K76.8
ORPHA:3197;-;614619;-;C1835614;G25.8
ORPHA:3198;-;184850;10042044;C0085292;G25.8
ORPHA:3199;-;202900;-;-;-
ORPHA:3200;-;601701;-;C1866427;-
ORPHA:3201;-;192445;-;C2931232;Q87.8
ORPHA:3202;-;194380;-;C0272051;D58.8
ORPHA:3203;-;185000;-;-;D58.8
ORPHA:3204;-;185070;-;C1861451;D69.8
ORPHA:3205;D013341;185300;10057653;C0038505;Q85.8
ORPHA:3206;C537502;601559;-;C0432240;Q78.8
ORPHA:3207;-;-;-;C2931292;-
ORPHA:3208;-;252011;-;C1855008;G71.3
ORPHA:3210;C538142;272350;-;C1802405;Q82.0
ORPHA:3212;-;-;-;-;-
ORPHA:3213;-;-;-;-;-
ORPHA:3214;C536771;601706;-;C1866425;-
ORPHA:3215;-;-;-;-;-
ORPHA:3216;-;221300;-;C1857341;-
ORPHA:3217;-;221400;-;C1857338;-
ORPHA:3218;-;601351;-;C1832438;-
ORPHA:3219;C537270;229120;-;C0795944;Q87.8
ORPHA:3220;C535994;616617;-;C1856186;-
ORPHA:3221;-;274300;-;C2940786;E07.8
ORPHA:3222;-;300661;-;C1970827;E79.8
ORPHA:3224;-;-;-;C2931654;Q87.8
ORPHA:3225;-;-;-;C2931369;-
ORPHA:3226;-;614038;-;-;D46.7
ORPHA:3228;-;-;-;-;-
ORPHA:3229;-;-;-;-;-
ORPHA:3230;C538049;221740;-;C1857333;-
ORPHA:3231;-;124480;-;-;Q87.8
ORPHA:3232;-;124490;-;-;Q87.0
ORPHA:3233;-;120040;-;-;-
ORPHA:3235;-;601449;-;C1832354;H74.3
ORPHA:3236;C535993;221320;-;C1857340;-
ORPHA:3237;-;610017;-;C0175700;Q78.8
ORPHA:3238;-;157800;-;C2931461;-
ORPHA:3239;-;221350;-;C1857339;Q87.8
ORPHA:3240;-;-;-;-;-
ORPHA:3241;-;125230;-;C1852278;Q87.0
ORPHA:3242;-;309500;-;-;Q87.5
ORPHA:3243;D016463;608068;10000748;C0085077;L98.2
ORPHA:3246;-;185750;-;C1861391;Q74.8
ORPHA:3248;-;185700;-;C1861401;Q70.9
ORPHA:3250;C536223;185800;-;C1861385;Q70.9
ORPHA:3253;C536726;225060;-;C2931488;-
ORPHA:3255;C538152;272440;-;C0795940;Q87.8
ORPHA:3258;-;212780;-;C1859309;Q78.4
ORPHA:3259;-;186350;-;C1861347;-
ORPHA:3260;-;607685;-;C0206141;D47.5
ORPHA:3261;D056735;601859;10069521;C1328840;D47.9
ORPHA:3262;-;-;-;-;-
ORPHA:3263;-;-;-;-;-
ORPHA:3265;-;236400;-;C0431800;Q74.0
ORPHA:3266;-;-;-;-;Q74.0
ORPHA:3267;-;600775;-;-;Q75.0
ORPHA:3268;-;603438;-;C1863881;-
ORPHA:3269;-;179300;-;C0431795;Q74.0
ORPHA:3270;-;266255;-;C2931776;Q87.8
ORPHA:3271;-;-;-;-;-
ORPHA:3273;-;300813;10042863;C0039101;C49.9
ORPHA:3274;-;-;-;-;-
ORPHA:3275;-;272460;-;C1848934;Q76.4
ORPHA:3276;-;-;-;-;-
ORPHA:3280;D013595;186700;10042928;C1861301;Q06.4
ORPHA:3282;-;-;-;C0221158;I47.1
ORPHA:3283;-;-;-;C0039235;I47.1
ORPHA:3284;-;-;-;-;-
ORPHA:3286;-;614916;-;C1631597;I47.2
ORPHA:3287;D013625;207600;10043097;C0039263;M31.4
ORPHA:3289;C536946;272700;-;C0266039;K00.2
ORPHA:3291;C536950;272950;-;C1848912;-
ORPHA:3292;C536953;211960;-;C1859356;Q74.0
ORPHA:3293;-;-;-;-;-
ORPHA:3294;-;187390;-;C2931376;-
ORPHA:3299;D013742;-;10043376;C0039614;A33
ORPHA:3301;C536500;618021;-;C2931218;Q87.8
ORPHA:3303;D013771;187500;10016193;C0039685;Q21.3
ORPHA:3304;-;601127;-;C1832735;Q87.8
ORPHA:3305;D057891;-;-;C0333694;Q92.7
ORPHA:3306;-;-;-;C3711376;Q99.8
ORPHA:3307;-;614290;-;C0795868;Q99.8
ORPHA:3309;-;-;-;-;Q99.8
ORPHA:3310;C538027;-;-;C0795832;Q99.8
ORPHA:3311;-;-;-;-;-
ORPHA:3312;-;-;10071249;C0432365;Q86.8
ORPHA:3313;-;-;-;-;-
ORPHA:3314;-;165700;-;-;M93.2
ORPHA:3316;C536514;-;-;C2931225;Q87.8
ORPHA:3317;C536517;187760;-;C1861197;Q77.2
ORPHA:3318;D013920;601977;10015493;C0040028;D47.3
ORPHA:3319;C535982;604498;-;C1327915;D61.0
ORPHA:3320;-;274000;10071719;C0175703;Q87.2
ORPHA:3322;C536068;616353;-;C1846142;D61.0
ORPHA:3323;-;-;-;-;-
ORPHA:3324;C536900;-;-;C2931365;D68.8
ORPHA:3325;-;-;10062506;C0272285;D69.5
ORPHA:3326;C536907;274265;-;C1848812;Q87.8
ORPHA:3327;-;274240;-;C1848813;-
ORPHA:3328;C536918;601027;-;C2931368;-
ORPHA:3329;-;119100;-;C1861553;Q73.8
ORPHA:3331;-;-;-;-;-
ORPHA:3332;-;188740;-;-;Q74.8
ORPHA:3333;-;-;-;-;-
ORPHA:3336;-;-;-;-;-
ORPHA:3337;-;615605;-;-;E72.0
ORPHA:3338;-;217980;-;C0796184;Q87.8
ORPHA:3339;-;600268;-;C1838329;-
ORPHA:3340;-;-;-;-;-
ORPHA:3341;C536970;314300;-;C1839129;Q87.8
ORPHA:3342;-;208050;-;C1859726;I77.1
ORPHA:3343;D014120;-;10044269;C0040553;B83.0
ORPHA:3344;C537082;112350;-;C1862172;Q77.8
ORPHA:3346;C536975;-;-;C1261567;Q32.1
ORPHA:3347;D014137;275300;10044316;C0040587;J98.0
ORPHA:3348;-;189961;-;C3887588;J98.0
ORPHA:3349;-;-;-;-;-
ORPHA:3350;-;190310;-;C1860860;-
ORPHA:3351;C536551;601453;-;C0406724;-
ORPHA:3352;C536549;190320;-;C0265333;Q82.4
ORPHA:3353;-;-;-;C2931485;-
ORPHA:3354;-;-;-;-;-
ORPHA:3355;-;275450;-;C3502453;-
ORPHA:3357;-;-;-;-;-
ORPHA:3360;-;-;-;-;-
ORPHA:3361;-;190360;-;C1860822;-
ORPHA:3362;-;-;-;-;-
ORPHA:3363;-;275400;-;C1848745;-
ORPHA:3365;-;-;-;-;Q87.0
ORPHA:3366;-;190440;-;C0265535;Q75.0
ORPHA:3368;-;275595;-;C1848743;Q87.0
ORPHA:3369;-;314320;-;C1839125;Q87.0
ORPHA:3374;-;-;-;-;Q15.8
ORPHA:3375;D014314;-;-;C0221033;Q97.0
ORPHA:3376;D057885;-;-;C0333693;Q92.7
ORPHA:3377;-;158300;-;C0265226;Q68.8
ORPHA:3378;-;-;10044686;C2936830;Q91.4
ORPHA:3379;C536579;-;-;C2931247;Q92.3
ORPHA:3380;-;-;10053884;C0152096;Q91.2
ORPHA:3383;-;191000;-;C1860773;Q74.0
ORPHA:3384;-;217095;-;C0041207;Q20.0
ORPHA:3385;D014353;-;10001461;C0041228;B56.1
ORPHA:3386;-;-;10001935;C0041234;B57.0
ORPHA:3387;-;600457;-;C1838123;L68.2
ORPHA:3388;-;-;-;-;-
ORPHA:3389;D014376;607948;10044755;C0041296;-
ORPHA:3390;-;560000;-;-;-
ORPHA:3391;-;-;-;-;-
ORPHA:3392;D014406;-;10045146;C0041351;A21.0
ORPHA:3394;-;-;-;C0334492;-
ORPHA:3398;C536905;-;-;C1266101;D15.0
ORPHA:3399;-;-;-;C0740345;-
ORPHA:3400;-;-;-;-;Q20.8
ORPHA:3402;-;-;-;-;P74.5
ORPHA:3403;C536932;107970;10048951;C0265857;Q24.8
ORPHA:3404;-;266910;-;C1849438;Q87.8
ORPHA:3405;C536938;-;-;C2931371;-
ORPHA:3406;-;604093;-;-;-
ORPHA:3408;C536472;191520;-;C1860596;M91.8
ORPHA:3409;-;264010;-;C0796189;Q87.8
ORPHA:3411;-;192050;-;C1860549;-
ORPHA:3412;-;276950;-;-;Q87.8
ORPHA:3416;-;239100;-;C0432272;M85.2
ORPHA:3417;-;314500;-;C0796192;-
ORPHA:3419;-;-;-;-;-
ORPHA:3421;-;-;-;-;-
ORPHA:3423;-;-;-;-;-
ORPHA:3424;-;600736;-;C1833380;Q87.0
ORPHA:3426;D004310;217095;10013611;C0013069;Q20.1
ORPHA:3427;-;-;-;C0265809;Q20.2
ORPHA:3429;C536541;215850;-;C1859082;Q87.8
ORPHA:3433;-;-;-;C2931177;Q87.8
ORPHA:3434;-;601349;-;C1832440;Q87.8
ORPHA:3437;-;-;-;C0042170;H30.8
ORPHA:3438;-;-;-;-;-
ORPHA:3439;-;223340;-;C1857226;Q87.8
ORPHA:3440;D014849;608890;10069203;C0043008;E70.3
ORPHA:3444;-;-;-;-;-
ORPHA:3446;-;-;-;-;-
ORPHA:3447;C536687;277590;-;C0265210;Q87.3
ORPHA:3448;-;-;-;-;Q87.8
ORPHA:3449;D056846;614819;10064963;C0265313;Q87.0
ORPHA:3450;-;277610;-;C1848488;Q77.7
ORPHA:3451;-;617929;10021750;C0037769;G40.4
ORPHA:3452;C531849;-;10047931;C0023788;M14.8*
ORPHA:3453;C538275;240300;-;C3494489;E31.0
ORPHA:3454;C536703;314580;-;C0796200;G71.8
ORPHA:3455;C536423;264090;-;C0406586;E34.8
ORPHA:3456;C536706;314600;10069402;C0265239;Q87.8
ORPHA:3459;-;309585;-;C1839736;-
ORPHA:3460;C536051;277950;-;C1850155;M89.5
