Orphanet;MeSH;OMIM;MedDRA;UMLS;ICD-10
ORPHA:137;-;-;-;C0282577;E77.8
ORPHA:138;D058747;214800;10064063;C0265354;Q87.8
ORPHA:139;-;308050;-;C0265267;Q87.8
ORPHA:140;D055036;602196;-;C1861922;Q87.1
ORPHA:141;D017825;271900;10067608;C3542499;E75.2
ORPHA:142;C536910;-;10002240;C0238461;C73
ORPHA:143;-;608266;-;C0687150;C75.0
ORPHA:144;D003123;614350;10051981;C1333990;D48.9
ORPHA:145;-;604370;-;C0677776;C50
ORPHA:146;-;188550;-;C0238463;C73
ORPHA:147;-;237300;10058297;C0751753;E72.2
ORPHA:148;D009100;-;10028176;C0026755;E53.8
ORPHA:150;C538339;617075;10028793;C0238301;C11.1
ORPHA:151;-;-;-;-;-
ORPHA:154;-;615916;-;C0340427;I42.0
ORPHA:156;-;255120;-;C1829703;E71.3
ORPHA:157;C535589;600649;-;C0342790;E71.3
ORPHA:158;-;212140;-;C0342788;E71.3
ORPHA:159;-;212138;-;C0342791;E71.3
ORPHA:160;D005871;148000;10050251;C0017531;D47.4
ORPHA:162;-;-;-;-;Q12.0
ORPHA:163;C538137;600886;-;C1833213;H26.0
ORPHA:165;C536560;-;-;C0268238;E75.5
ORPHA:166;D002607;-;10034699;C0007959;G60.0
ORPHA:167;D002609;214500;10008415;C0007965;E70.3
ORPHA:168;D058247;600628;-;C0406468;L65.1
ORPHA:169;C537187;180600;-;C0263489;Q84.1
ORPHA:170;C536745;616760;10048017;C0343073;Q84.1
ORPHA:171;C536419;613806;10036732;C0566602;K83.0
ORPHA:172;-;601847;-;C0268312;K76.8
ORPHA:173;D002771;-;10008631;C0008354;A00.0
ORPHA:174;C537352;156500;-;C0265289;Q78.5
ORPHA:175;C535916;250250;10069596;C0220748;Q78.8
ORPHA:176;-;-;-;-;Q77.3
ORPHA:177;D018902;215100;-;C0282529;Q77.3
ORPHA:178;D002817;215400;10008747;C0008487;C76.7
ORPHA:179;C537630;605808;-;C1853959;H30.1
ORPHA:180;D015794;303100;10008791;C0008525;H31.2
ORPHA:181;D053358;305100;-;C0162359;Q82.4
ORPHA:182;D002862;-;10008803;C0008582;B43.0
ORPHA:183;D015267;-;10048594;C0008728;M30.1
ORPHA:184;D002636;118400;10070535;C0008029;K10.8
ORPHA:185;D012587;-;10051951;C0036400;Q26.8
ORPHA:186;-;109720;10004661;C0859942;K74.3
ORPHA:187;D020159;-;-;C0175683;E72.2
ORPHA:188;D019559;-;10007196;C0343084;I78.8
ORPHA:189;-;129500;-;C0162361;Q82.8
ORPHA:190;D058456;300216;10015901;C0154832;H35.0
ORPHA:191;D003057;133540;10009835;C0009207;Q87.1
ORPHA:192;D038921;303600;-;C0265252;Q87.0
ORPHA:193;C536438;216550;10049066;C0265223;Q87.8
ORPHA:194;-;-;-;-;-
ORPHA:195;C535918;115470;-;C0265493;Q92.8
ORPHA:198;C537860;304150;-;C1096660;E83.0
ORPHA:199;D003635;610759;10056354;C0270972;Q87.1
ORPHA:200;-;-;-;-;-
ORPHA:201;D006223;616858;10051906;C0018553;Q85.8
ORPHA:202;-;-;-;C0432348;-
ORPHA:204;D007562;123400;10011384;C0022336;A81.0
ORPHA:205;D003414;218800;10011386;C0010324;E80.5
ORPHA:207;-;123500;-;-;Q75.1
ORPHA:209;D003483;-;10011692;C0010495;Q82.8
ORPHA:210;-;-;-;-;A07.3
ORPHA:211;C536611;132700;-;C1704217;-
ORPHA:212;C535408;219500;-;C0268616;E72.1
ORPHA:213;D003554;219800;10011777;C0010690;E72.0
ORPHA:214;D003555;220100;10011778;C0268646;E72.0
ORPHA:215;C536122;163500;-;C0339535;H53.6
ORPHA:216;D009472;-;-;C0027877;E75.4
ORPHA:217;-;220200;-;C0010964;Q03.1
ORPHA:218;D007644;124200;10023369;C0022595;Q82.8
