;0.0;0.25;0.5;0.75;1.0
(30, 59);40.35;10.21;2.99;2.99;2.99
(60, 99);71.93;21.27;8.1;8.1;8.1
(100, 299);188.76;57.56;34.26;34.26;34.26
(300, 1121);418.75;186.99;165.14;165.14;165.14
